"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"Access Control Devices and Systems","SCAN S3 Security Manager Console Release 14556 (v2.0) integrated with Scan S3 Agent (v2.0.1.6.2)","Scan Associates Berhad","MY","EAL2","","07/09/2014","","http://www.commoncriteriaportal.org:80/files/epfiles/ISCB-5-RPT-C050-CR-v1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/2014-04-14-ST-SCANS_S3-v2.7.pdf","","","",""
"Access Control Devices and Systems","Symantec™ Security Information Manager v4.8.1","Symantec Corporation","CA","EAL2+,ALC_FLR.2","","02/26/2014","","http://www.commoncriteriaportal.org:80/files/epfiles/symantec-security-v481-cert-eng.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/symantec-security-v481-sec-eng.pdf","","","",""
"Access Control Devices and Systems","MQAssureTM NetSignOn v3.0","MagnaQuest Solutions Sdn Bhd","MY","EAL2","","12/17/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ISCB-5-RPT-C046-CR-v1a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/MQAssure_NetSignOn_v3_0_Security_Target_v1_10.pdf","","","",""
"Access Control Devices and Systems","Tivoli Security Policy Manager Version 7.1","IBM Corporation","DE","EAL2+,ALC_FLR.3","","12/16/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0839a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0839b_pdf.pdf","","","",""
"Access Control Devices and Systems","Hitachi Unified Storage 110 Microprogram Version:0917/A","Hitachi, Ltd.","JP","EAL2","","12/12/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/c0421_erpt.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/c0421_est.pdf","","","",""
"Access Control Devices and Systems","Hitachi Unified Storage 130 Microprogram Version:0917/A","Hitachi, Ltd.","JP","EAL2","","12/12/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/c0420_erpt.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/c0420_est.pdf","","","",""
"Access Control Devices and Systems","Hitachi Unified Storage 150 Microprogram Version:0917/A","Hitachi, Ltd.","JP","EAL2","","12/11/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/c0419_erpt.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/c0419_est.pdf","","","",""
"Access Control Devices and Systems","Centrify Suite version 2013.2","Centrify Corporation","CA","EAL2+,ALC_FLR.1","","10/23/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/centrify-v20132-cert-eng.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/centrify-v20132-sec-eng.pdf","","","",""
"Access Control Devices and Systems","IBM Logical Partition Architecture for Power7 operating on IBM Power Systems hardware with AH730_087 or AM740_088","International Business Machine (IBM) Corporation","MY","EAL4+,ALC_FLR.2","","05/31/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ISCB-5-RPT-C043-CR-v1b.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/IBM-LPAR-Security-Target-v0 33_FINAL.pdf","","","",""
"Access Control Devices and Systems","Novell Identity Manager 4.0.2","NetIQ, Incorporated","CA","EAL3+,ALC_FLR.1","","03/06/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/383-4-214 CR v1.0e.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/383-4-214 ST v1.3.pdf","03/06/2015","NetIQ® Identity Manager™ 4.5","http://www.commoncriteriaportal.org:80/files/epfiles/383-7-120 MR v1.0e.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/383-7-120 ST v2.2.pdf"
"Access Control Devices and Systems","Novell Identity Manager 4.0.2","NetIQ, Incorporated","CA","EAL3+,ALC_FLR.1","","03/06/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/383-4-214 CR v1.0e.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/383-4-214 ST v1.3.pdf","","","",""
"Access Control Devices and Systems","ZTE Access System Series C30X","ZTE Corporation","NO","EAL2+,ALC_FLR.2","","03/04/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/SERTIT-043 CR v 1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ZTE Access Systems Series ZXA10 C300 C300M C350M v1.0.pdf","","","",""
"Access Control Devices and Systems","ZTE Base Station Controller Series","ZTE Corporation","NO","EAL2+,ALC_FLR.2","","09/14/2012","","http://www.commoncriteriaportal.org:80/files/epfiles/SERTIT-038 CR v.1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/[ST] ZTE Base Station Controllers Security Target v1.0.pdf","","","",""
"Access Control Devices and Systems","ZTE Access System Series","ZTE Corporation","NO","EAL2+,ALC_FLR.2","","08/17/2012","","http://www.commoncriteriaportal.org:80/files/epfiles/SERTIT-037 CR v 1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/[ST] Access Gateways ST v1.0.pdf","","","",""
"Access Control Devices and Systems","IBM Tivoli Access Manager for e-business version 6.1.1 FP4 with IBM Tivoli Federated Identity Manager version 6.2.1 FP2","IBM Corporation","DE","EAL4+,ALC_FLR.3","","06/22/2012","","http://www.commoncriteriaportal.org:80/files/epfiles/0636a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0636b_pdf.pdf","","","",""
"Access Control Devices and Systems","SafeGuard Enterprise – Device Encryption, Version 5.60 for Microsoft Windows XP Professional and Microsoft Windows 7","Utimaco Safeware AG","DE","EAL4","","06/18/2012","","http://www.commoncriteriaportal.org:80/files/epfiles/0553a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0553b_pdf.pdf","","","",""
"Access Control Devices and Systems","Active Directory Federation Services 2.0","Microsoft","AU","EAL4+,ALC_FLR.3","","05/02/2012","","http://www.commoncriteriaportal.org:80/files/epfiles/ADFS_CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ADFS_ST.pdf","","","",""
"Access Control Devices and Systems","Forefront Identity Manager (FIM) 2010","Microsoft Corporation","AU","EAL4+,ALC_FLR.3","","05/02/2012","","http://www.commoncriteriaportal.org:80/files/epfiles/FIM_CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/FIM_ST.pdf","","","",""
"Access Control Devices and Systems","NetSignOn Version 2.0","MagnaQuest Solutions Sdn Bhd","MY","EAL1","","04/16/2012","","http://www.commoncriteriaportal.org:80/files/epfiles/ISCB-5-RPT-C027-CR-v1a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NetSignON ST v1.7.pdf","","","",""
"Access Control Devices and Systems","Oracle Identity Manager, Release 9.1.0.2","Oracle Corporation","UK","EAL4+,ALC_FLR.3","","01/13/2012","","http://www.commoncriteriaportal.org:80/files/epfiles/CRP266.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/OIM ST 09.pdf","","","",""
"Access Control Devices and Systems","Chakra Max Core v2.0","Warevalley Co., Ltd.","KR","EAL4","","12/29/2011","","http://www.commoncriteriaportal.org:80/files/epfiles/KECS-CISS-0355-2011 Chakra Max Core v2.0 CR(Eng).pdf","http://www.commoncriteriaportal.org:80/files/epfiles/KECS-CISS-0355-2011_Chakra Max Core v2.0 ST(Eng).pdf","","","",""
"Access Control Devices and Systems","Concepteers Teleconsole™ Version 2.0","Concepteers LLC","CA","EAL3","","07/18/2011","","http://www.commoncriteriaportal.org:80/files/epfiles/383-4-177 CR v1.1e.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/Concepteers Teleconsole EAL3 ST v1-2.pdf","","","",""
"Access Control Devices and Systems","Microsoft Forefront Unified Access Gateway 2010 (CC), Version / Build 4.0.1752.10000","Microsoft Corporation","DE","EAL2+,ALC_FLR.3","","06/29/2011","","http://www.commoncriteriaportal.org:80/files/epfiles/0678a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0678b_pdf.pdf","","","",""
"Access Control Devices and Systems","Enterasys Netsight/Network Access Control v3.2.2","Enterasys Networks, Inc","CA","EAL2+,ALC_FLR.1","","04/11/2011","","http://www.commoncriteriaportal.org:80/files/epfiles/enterasys-net-v322-cert-eng.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/enterasys-net-v322-sec-eng.pdf","","","",""
"Access Control Devices and Systems","MQAssure™/AppShield v1.2_CR6 Integrated with MQAssure™/IAM v1.0_CR6","MagnaQuest Solutions Sdn Bhd","MY","EAL4","","04/11/2011","","http://www.commoncriteriaportal.org:80/files/epfiles/ISCB-5-RPT-C005-CR-v1a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/MQAssure_AppShield_1.2_Security_Target_EAL4_1.21.pdf","","","",""
"Access Control Devices and Systems","Citrix XenApp 6.0 for Windows Server 2008 R2 - Platinum Edition","Citrix Systems, Inc.","UK","EAL2+,ALC_FLR.2","","02/28/2011","","http://www.commoncriteriaportal.org:80/files/epfiles/crp257.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/t007-st.pdf","","","",""
"Access Control Devices and Systems","SafeGuard Enterprise Device Encryption, Version 5.30","Utimaco Safeware AG","DE","EAL3+,ACM_AUT.1,ACM_CAP.4,ACM_SCP.2,ADO_DEL.2,ADV_FSP.2,ALC_LCD.1,AVA_MSU.2","","10/02/2009","","http://www.commoncriteriaportal.org:80/files/epfiles/0462a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0462b_pdf.pdf","","","",""
"Access Control Devices and Systems","Prodotto gestionale per il Controllo Accessi del Palazzo Esercito v. 2.33","Siemens IT Solutions & Services S.p.A.","IT","EAL4","","09/23/2009","","http://www.commoncriteriaportal.org:80/files/epfiles/rc_siemens_v1.1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/tds_siemens_v3.0.pdf","","","",""
"Access Control Devices and Systems","Motorola RFS7000 RF Switch","Motorola, Inc.","NO","EAL4+,ALC_FLR.2","PP_WLAN_AS_BR_V1.0","07/09/2009","","http://www.commoncriteriaportal.org:80/files/epfiles/20090709_SERTIT-010_CR_v1_0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/MOTOROLA_ST-v1.5.pdf","","","",""
"Access Control Devices and Systems","Motorola WS5100 Wireless Switch","Motorola, Inc.","NO","EAL4+,ALC_FLR.2","PP_WLAN_AS_BR_V1.0","07/09/2009","","http://www.commoncriteriaportal.org:80/files/epfiles/20090709_SERTIT-009_CR_v1_0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/MOTOROLA_ST-v1.5.pdf","","","",""
"Access Control Devices and Systems","IBM Tivoli Identity Manager, Version 5.0","IBM Corporation","DE","EAL3+,ALC_FLR.1","","06/08/2009","","http://www.commoncriteriaportal.org:80/files/epfiles/0556a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0556b.pdf","","","",""
"Access Control Devices and Systems","AhnLab Suhoshin Absolute v3.0","AhnLab, Inc.","KR","EAL4","","12/22/2008","","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-136-En.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-136-ST-En.pdf","","","",""
"Access Control Devices and Systems","RedCastle v2.0 for Windows","REDGATE","KR","EAL3+,ADV_IMP.2,ADV_LLD.1,ALC_TAT.1,ATE_DPT.2,AVA_VLA.2","","12/21/2008","","http://www.commoncriteriaportal.org:80/files/epfiles/CISS-82-EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/CISS-82-ST-EN.pdf","","","",""
"Access Control Devices and Systems","Passlogix v-GO Access Accelerator Suite","Passlogix Inc.","AU","EAL3+,ALC_FLR.1","","12/16/2008","","http://www.commoncriteriaportal.org:80/files/epfiles/EFS-T0002_CR_1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/Passlogix_ST_v1.0.pdf","","","",""
"Access Control Devices and Systems","Gestione dei dati sanitari, infermerie e CMD","Blustaff S.p.A.","IT","EAL3","","10/30/2008","","http://www.commoncriteriaportal.org:80/files/epfiles/rc_blustaff_v1.1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/smd06_tds_v4.1.pdf","","","",""
"Access Control Devices and Systems","OfficeServ 7400 GWIMC","SAMSUNG ELECTRONICS INC.","KR","EAL3+","FW_PP","07/16/2008","","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-108-EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-108-ST-EN.pdf","","","",""
"Access Control Devices and Systems","ET 500 Plus","ITALDATA Ingegneria dell'idea S.p.A.","IT","EAL3","","07/14/2008","","http://www.commoncriteriaportal.org:80/files/epfiles/rc-et500plus_v1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/co-06-034-tds_v5.pdf","","","",""
"Access Control Devices and Systems","eXshield V1.0.1.R","SAMSUNG NETWORKS INC.","KR","EAL4","NIPS_PP_V1.1","06/13/2008","","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-105-EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-105-ST-EN.pdf","","","",""
"Access Control Devices and Systems","RedCastle v3.0 for Asianux","REDGATE","KR","EAL4","","04/30/2008","","http://www.commoncriteriaportal.org:80/files/epfiles/CISS-104-EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/CISS-104-ST-EN.pdf","","","",""
"Access Control Devices and Systems","SNIPER IPS V6.0.e","NOWCOM co., Ltd","KR","EAL4","NIPS_PP_V1.1","04/11/2008","","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-0083-EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-83-ST-EN.pdf","","","",""
"Access Control Devices and Systems","NXG IPS 6000 V1.6","Secui.com Corp.","KR","EAL4","NIPS_PP_V1.1","06/22/2007","","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-69-EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-69-ST-EN.pdf","","","",""
"Access Control Devices and Systems","REDOWL SecuOS V4.0 for MS","TSonNET Co., ltd","KR","EAL3+,ADV_IMP.2,ADV_LLD.1,ALC_TAT.1,ATE_DPT.2,AVA_VLA.2","","06/22/2007","","http://www.commoncriteriaportal.org:80/files/epfiles/CISS-70-EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/CISS-70-ST-EN.pdf","","","",""
"Access Control Devices and Systems","SECUINXG V1.6","Secui.com Corp.","KR","EAL4","NIPS_PP_V1.1","06/22/2007","","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-68-EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-68-ST-EN.pdf","","","",""
"Access Control Devices and Systems","IBM Tivoli Access Manager for e-Business Version 6.0 with Fixpack 3","IBM Corporation","DE","EAL3+,ALC_FLR.1","","03/12/2007","","http://www.commoncriteriaportal.org:80/files/epfiles/0343a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0343b.pdf","","","",""
"Access Control Devices and Systems","VoiceIdent Unit 1.0","Deutsche Telekom AG / T-COM","DE","EAL2+,ADV_SPM.1","","01/10/2007","","http://www.commoncriteriaportal.org:80/files/epfiles/0359a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0359b.pdf","","","",""
"Access Control Devices and Systems","REDOWL secuOS V4.0 for RHEL4","TSonNET Co., ltd","KR","EAL3+,AVA_VLA.2,ADV_IMP.2,ADV_LLD.1,ALC_TAT.1,ATE_DPT.2","","01/05/2007","","http://www.commoncriteriaportal.org:80/files/epfiles/CISS-60-EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/CISS-60-ST-EN.pdf","","","",""
"Access Control Devices and Systems","RedCastle V2.0 for Asianux","REDGATE","KR","EAL3+,AVA_VLA.2,ADV_IMP.2,ADV_LLD.1,ALC_TAT.1,ATE_DPT.2","","12/22/2006","","http://www.commoncriteriaportal.org:80/files/epfiles/CISS-58-EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/CISS-58-ST-EN.pdf","","","",""
"Access Control Devices and Systems","RedCastle V2.0 for RedHat","REDGATE","KR","EAL3+,AVA_VLA.2,ADV_LLD.1,ADV_IMP.2,ALC_TAT.1,ATE_DPT.2","","12/22/2006","","http://www.commoncriteriaportal.org:80/files/epfiles/CISS-57-EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/CISS-57-ST-EN.pdf","","","",""
"Access Control Devices and Systems","SNIPER IPS V5.0(E2000)","WINS Technet CO., Ltd","KR","EAL4","","10/27/2006","","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-54-2006-EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-54-ST-EN.pdf","","","",""
"Access Control Devices and Systems","SNIPER IPS V5.0(E4000)","WINS Technet CO., Ltd","KR","EAL4","","10/27/2006","","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-55-EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NISS-55-ST-EN.pdf","","","",""
"Access Control Devices and Systems","IBM Tivoli Access Manager for Operating Systems Version 5.1 with Fixpack 17","IBM Corporation","DE","EAL3+,ALC_FLR.1","","03/24/2006","","http://www.commoncriteriaportal.org:80/files/epfiles/0305a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0305b.pdf","","","",""
"Access Control Devices and Systems","IBM Tivoli Identity Manager, Version 4.6","IBM Corporation","DE","EAL3+,ALC_FLR.1","","02/16/2006","","http://www.commoncriteriaportal.org:80/files/epfiles/0237a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0237b.pdf","","","",""
"Access Control Devices and Systems","IBM Tivoli Access Manager for e-Business Version 5.1 with Fixpack 6","IBM Corporation","DE","EAL3+,ALC_FLR.1","","07/27/2005","","http://www.commoncriteriaportal.org:80/files/epfiles/0285a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0285b.pdf","","","",""
"Access Control Devices and Systems","SafeGuard Easy 3.20 für Windows 2000","Utimaco Safeware AG","DE","EAL3","","09/24/2004","","http://www.commoncriteriaportal.org:80/files/epfiles/0186a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0186b.pdf","","","",""
"Biometric Systems and Devices","MorphoSmart Optic 301 Version 1.0","Safran Morpho","DE","None,ADV_ARC.1,ADV_FSP.2,ADV_TDS.1,AGD_OPE.1,AGD_PRE.1,ALC_CMC.2,ALC_CMS.2,ALC_DEL.1,ALC_FLR.1,ASE_CCL.1,ASE_ECD.1,ASE_INT.1,ASE_OBJ.2,ASE_REQ.2,ASE_SPD.1,ASE_TSS.1,ATE_COV.1,ATE_FUN.1,ATE_IND.2","FSDPP_OSP_V1.7","01/31/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0790a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0790b_pdf.pdf","","","",""
"Biometric Systems and Devices","Authentest Server v1.2.6","Authenware Corp.","ES","EAL2+,ALC_FLR.1","","10/01/2010","","http://www.commoncriteriaportal.org:80/files/epfiles/2009-30-INF-515.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/2009-30-DS.pdf","","","",""
"Biometric Systems and Devices","PalmSecure SDK Version 24 Premium","Fujitsu Limited","DE","EAL2","","12/30/2008","","http://www.commoncriteriaportal.org:80/files/epfiles/0511a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0511b.pdf","","","",""
"Boundary Protection Devices and Systems","Labris v2.2.1","Labris Teknoloji Bil. Çöz. A.?.","TR","EAL4+,ALC_FLR.2","","11/14/2016","","http://www.commoncriteriaportal.org:80/files/epfiles/CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ST.pdf","","","",""
"Boundary Protection Devices and Systems","Fortinet FortiGate™ Next Generation Firewalls and FortiOS 5.2.7 CC Compliant Firmware","Fortinet, Inc.","SE","EAL4,ALC_FLR.3","","10/03/2016","","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report FortiGate.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/Fortinet FortiGate_EAL4_ST_V1.5.pdf(320893)_TMP.pdf","","","",""
"Boundary Protection Devices and Systems","Owl DualDiode® Communication Cards (002 & 010) M-Series Data Diode Family","Owl Computing Technologies, Inc.","CA","EAL2","","09/28/2016","","http://www.commoncriteriaportal.org:80/files/epfiles/383-4-389 CR v1.0e.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/383-4-389 ST v01m.pdf","","","",""
"Boundary Protection Devices and Systems","Logiciel Mistral IP version 2.1.2","Thales Communications & Security","FR","EAL3+,ALC_FLR.3,AVA_VAN.3","","07/22/2016","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2016_42.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/Cible Lite 2016-42.pdf","","","",""
"Boundary Protection Devices and Systems","Thales Trusted Security Filter TSF201","Thales Norway AS","NO","EAL5,ALC_FLR.3","","02/01/2016","","http://www.commoncriteriaportal.org:80/files/epfiles/20160201 SERTIT-060 CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/3AQ 25940 AAAA 377 EN Security Target for TSF 201 ed  2.pdf","","","",""
"Boundary Protection Devices and Systems","genuscreen 5.0","GeNUA mbH","DE","EAL4+,ALC_FLR.2,ASE_TSS.2,AVA_VAN.4","","12/03/2015","12/03/2020","http://www.commoncriteriaportal.org:80/files/epfiles/0966a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0966b_pdf.pdf","03/11/2016","genuscreen 5.0","http://www.commoncriteriaportal.org:80/files/epfiles/0966ma1a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0966ma1b_pdf.pdf"
"Boundary Protection Devices and Systems","genuscreen 5.0","GeNUA mbH","DE","EAL4+,ALC_FLR.2,ASE_TSS.2,AVA_VAN.4","","12/03/2015","12/03/2020","http://www.commoncriteriaportal.org:80/files/epfiles/0966a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0966b_pdf.pdf","","","",""
"Boundary Protection Devices and Systems","Cisco Integrated Services Routers (ISR) 4000 Family v3.13.2","Cisco Systems, Inc.","CA","None","PP_ND_V1.1,PP_ND_VPN_GW_EP_V1.1","09/03/2015","","http://www.commoncriteriaportal.org:80/files/epfiles/383-4-333 CR v1.2e.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/383-4-333 ST v1.0.pdf","","","",""
"Boundary Protection Devices and Systems","Sophos UTM V9 Packet Filter Version 1.000","Sophos Technology GmbH","DE","EAL4+,ALC_FLR.2","","04/21/2015","04/20/2020","http://www.commoncriteriaportal.org:80/files/epfiles/0942a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0942b_pdf.pdf","","","",""
"Boundary Protection Devices and Systems","Samsung Galaxy S6 & S6 Edge VPN Client","Samsung Electronics Co., Ltd.","US","None","PP_VPN_IPSEC_CLIENT_V1.4","04/09/2015","","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid10634-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid10634-st.pdf","","","",""
"Boundary Protection Devices and Systems","Trend Micro Deep Security 9.5 SP1","Trend Micro Inc.","CA","EAL2+,ALC_FLR.1","","03/27/2015","","http://www.commoncriteriaportal.org:80/files/epfiles/trend-micro-v95-cert-eng.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/trend-micro-v95-sec-eng.pdf","","","",""
"Boundary Protection Devices and Systems","Fortigate UTM appliances running FortiOS 5.0 Patch Release 10","Fortinet, Inc.","CA","None","PP_ND_TFFW_EP_V1.0,PP_ND_V1.1","03/24/2015","","http://www.commoncriteriaportal.org:80/files/epfiles/383-4-282 CR v1.0e.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/383-4-282 ST v1.7.pdf","","","",""
"Boundary Protection Devices and Systems","Cyberoam Firmware v10.5.4","Cyberoam Technologies","ES","EAL4+,ALC_FLR.2","","01/21/2015","","http://www.commoncriteriaportal.org:80/files/epfiles/2014-41-INF-1393.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/2014-41-ST.v1.7.pdf","","","",""
